,indicativo,nombre_indicativo,start_date,end_date,latitud_dd,longitud_dd,cluster
0,0002I,VANDELLÒS  ,2016-01-01,2021-07-06,40.95805555555556,0.8713888888888889,0
1,0009X,ALFORJA,2016-01-01,2024-12-31,41.21388888888889,0.9633333333333332,2
2,0016A,REUS AEROPUERTO,2016-01-01,2024-12-31,41.145,1.163611111111111,0
3,0016B,REUS (CENTRE LECTURA),2016-01-01,2024-12-31,41.15416666666667,1.108888888888889,0
4,0034X,VALLS,2016-01-01,2024-12-31,41.293055555555554,1.2608333333333333,0
5,0042Y,TARRAGONA ,2016-01-01,2024-12-31,41.12388888888889,1.2491666666666668,0
6,0061X,PONTONS,2016-01-01,2024-12-31,41.41694444444444,1.5191666666666666,0
7,0066X,VILAFRANCA DEL PENEDÈS,2016-01-01,2024-12-31,41.33027777777778,1.6769444444444443,0
8,0073X,SITGES,2016-01-01,2024-12-31,41.24388888888889,1.8525,4
9,0076,BARCELONA AEROPUERTO,2016-01-01,2025-06-11,41.29277777777778,2.0700000000000003,0
10,0092X,BERGA,2016-01-01,2024-12-31,42.10138888888889,1.8575,0
11,0106X,BALSARENY,2016-01-01,2025-06-11,41.86638888888889,1.8725,0
12,0114X,PRATS DE LLUÇANÈS,2016-01-01,2025-06-11,42.00694444444444,2.0266666666666664,0
13,0120X,MOIÀ,2016-01-01,2025-06-11,41.81333333333333,2.095277777777778,0
14,0149D,MANRESA (LA CULLA),2016-01-01,2025-04-30,41.72,1.840277777777778,0
15,0149X,MANRESA,2016-01-01,2025-06-11,41.72,1.840277777777778,0
16,0158O,MONTSERRAT,2016-01-01,2025-05-31,41.59444444444445,1.8391666666666668,0
17,0158X,MONISTROL DE MONTSERRAT,2016-01-01,2025-06-11,41.59444444444445,1.8391666666666668,2
18,0171X,IGUALADA,2016-09-29,2025-06-11,41.57888888888889,1.6177777777777778,0
19,0194D,"CORBERA, PUIG D'AGULLES",2016-01-01,2025-06-11,41.40805555555556,1.885,0
20,0200E,"BARCELONA, FABRA",2016-01-01,2025-06-11,41.41833333333333,2.1241666666666665,2
21,0201D,"BARCELONA, PORT OLÍMPIC",2016-01-01,2025-06-11,41.39055555555556,2.2,4
22,0201X,"BARCELONA, DRASSANES",2016-01-01,2025-06-11,41.375,2.1738888888888885,4
23,0222X,CALDES DE MONTBUI,2016-01-01,2022-12-31,41.61277777777778,2.168333333333333,0
24,0229I,SABADELL AEROPUERTO,2016-01-01,2016-04-20,41.52361111111111,2.103055555555556,2
25,0244X,VILASSAR DE DALT,2016-01-01,2022-12-31,41.505,2.3625000000000003,0
26,0252D,ARENYS DE MAR,2016-01-01,2022-12-31,41.58722222222222,2.54,0
27,0255B,SANTA SUSANNA,2016-01-01,2022-01-11,41.65083333333333,2.6969444444444446,4
28,0260X,FOGARS DE MONTCLÚS,2016-01-01,2022-12-31,41.76,2.431111111111111,2
29,0281Y,BLANES,2016-01-01,2022-12-31,41.676944444444445,2.805,4
30,0284X,CASTELL D'ARO,2016-01-01,2024-12-31,41.80777777777777,3.0308333333333333,4
31,0294B,LA BISBAL (D'EMPORDA 3),2016-01-01,2022-12-31,41.967777777777776,3.042222222222222,2
32,0312X,SANT PAU DE SEGÚRIES,2016-01-01,2024-12-31,42.25833333333333,2.364444444444445,2
33,0320I,PLANOLES,2016-01-01,2024-12-31,42.316944444444445,2.102777777777778,2
34,0321,CAMPDEVANOL,2016-01-01,2024-12-31,42.22277777777778,2.167222222222222,2
35,0324A,RIPOLL,2016-01-01,2024-12-31,42.19138888888889,2.196111111111111,0
36,0341,TONA (ESCOLA),2016-01-01,2024-12-31,41.84666666666667,2.2266666666666666,0
37,0341X,TONA,2016-01-01,2024-12-08,41.846944444444446,2.2225,0
38,0349,SANT JULIÀ  DE VILATORTA,2016-01-01,2024-12-31,41.92611111111111,2.3175,0
39,0360X,LES PLANES D'HOSTOLES,2016-01-01,2024-12-31,42.05277777777778,2.551111111111111,2
40,0363X,SANT HILARI,2016-07-06,2024-12-31,41.880833333333335,2.513333333333333,2
41,0367,GIRONA AEROPUERTO,2016-01-01,2024-12-31,41.91166666666666,2.763333333333333,2
42,0370E,GIRONA,2016-01-01,2024-12-31,41.97222222222222,2.819444444444444,2
43,0372C,PORQUERES,2016-01-01,2024-12-31,42.10444444444445,2.763611111111111,2
44,0385X,L'ESTARTIT,2016-01-01,2024-12-31,42.053888888888885,3.2013888888888893,4
45,0394X,LA VALL DE BIANYA,2016-01-01,2024-12-31,42.21055555555556,2.4719444444444445,2
46,0411X,CASTELLÓ D'EMPÚRIES,2016-01-01,2024-12-31,42.22472222222223,3.093055555555556,4
47,0413A,MAÇANET DE CABRENYS,2016-01-01,2024-12-31,42.386944444444445,2.7555555555555555,2
48,0421E,ESPOLLA 'LES ALBERES',2016-01-01,2024-12-27,42.39,3.006111111111111,2
49,0421X,ESPOLLA,2016-01-01,2024-12-31,42.39,3.006111111111111,0
50,0429X,FIGUERES,2016-01-01,2024-12-31,42.259166666666665,2.960277777777778,0
51,0433D,CABO DE CREUS,2016-01-22,2024-12-31,42.31916666666667,3.315555555555556,4
52,1002Y,"BAZTAN, IRURITA",2016-01-01,2024-12-31,43.13583333333333,-1.5430555555555554,5
53,1010X,BERA,2016-01-01,2024-12-31,43.27861111111111,-1.6758333333333333,5
54,1012P,IRUN,2016-01-01,2024-12-31,43.32638888888889,-1.7966666666666666,5
55,1014,"HONDARRIBIA, MALKARROA",2016-01-01,2024-12-31,43.35694444444445,-1.7922222222222222,5
56,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,2016-01-01,2024-12-31,43.35694444444445,-1.7922222222222222,5
57,1021X,"ERRENTERIA, AÑARBE",2016-01-01,2024-12-31,43.21388888888889,-1.8788888888888888,5
58,1021Y,ARTICUTZA (AUTOMATICA),2016-05-11,2024-12-31,43.21222222222222,-1.7977777777777777,5
59,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",2016-01-01,2024-12-31,43.30638888888888,-2.041111111111111,5
60,1025A,SEGURA,2017-01-01,2024-12-31,43.01555555555556,-2.256666666666667,5
61,1025X,"BEASAIN, ARRIARAN",2016-01-01,2024-12-31,43.05472222222222,-2.2319444444444447,5
62,1026X,ORDIZIA,2016-01-01,2025-06-11,43.05805555555556,-2.1841666666666666,5
63,1033X,ARESO,2016-01-01,2024-12-31,43.085,-1.9508333333333328,5
64,1037X,LEGAZPI,2016-01-01,2025-06-11,43.05166666666666,-2.3372222222222225,5
65,1037Y,ZUMARRAGA,2016-01-01,2025-06-11,43.080000000000005,-2.3175,5
66,1038X,AZPEITIA,2016-01-01,2025-06-11,43.1725,-2.2672222222222222,5
67,1041A,ZUMAIA,2016-01-01,2025-06-11,43.30222222222222,-2.251111111111112,5
68,1044X,"ARAMAIO, ETXAGUEN",2016-01-01,2025-06-11,43.05777777777777,-2.5897222222222225,5
69,1048X,ARETXABALETA,2016-01-01,2025-06-11,43.025,-2.4658333333333333,5
70,1049N,ELGETA,2017-01-01,2025-06-11,43.138333333333335,-2.4958333333333336,5
71,1050J,ELGOIBAR,2016-01-01,2025-06-11,43.20916666666667,-2.413333333333333,5
72,1052A,MUTRIKU,2017-01-01,2025-06-11,43.31722222222223,-2.397222222222222,5
73,1055B,LEKEITIO,2016-07-02,2018-12-31,43.37694444444445,-2.5102777777777776,4
74,1056K,FORUA,2016-01-01,2025-06-11,43.3425,-2.6711111111111108,5
75,1057B,MATXITXAKO,2016-01-01,2025-06-11,43.45388888888889,-2.7527777777777778,5
76,1059X,PUNTA GALEA,2016-01-01,2024-12-31,43.375,-3.0216666666666665,5
77,1060X,AMURRIO,2016-01-01,2024-12-31,43.05027777777777,-3.0055555555555555,5
78,1064L,"OROZKO, IBARRA",2016-01-01,2024-12-31,43.09638888888889,-2.8602777777777777,5
79,1069Y,"ABADIÑO, URKIOLA",2016-01-01,2024-12-31,43.09916666666667,-2.6441666666666666,5
80,1074C,AMOREBIETA-ETXANO,2016-01-01,2024-12-31,43.20277777777778,-2.706111111111112,5
81,1078C,BALMASEDA,2016-01-01,2024-12-31,43.18055555555555,-3.2097222222222226,5
82,1078I,GÜEÑES,2016-01-01,2024-12-31,43.20333333333333,-3.104722222222222,5
83,1082,BILBAO AEROPUERTO,2016-01-01,2024-12-31,43.29805555555556,-2.906388888888889,5
84,1083B,SOPUERTA,2016-01-01,2024-12-31,43.27972222222222,-3.168611111111111,5
85,1083L,CASTRO URDIALES,2016-01-01,2024-12-31,43.39472222222222,-3.233888888888889,5
86,1089U,RAMALES DE LA VICTORIA,2016-01-01,2024-12-31,43.255833333333335,-3.4708333333333337,5
87,1096X,"BARCENA DE CICERO, TRETO",2016-01-01,2024-12-31,43.39666666666667,-3.4697222222222224,5
88,1103X,SAN ROQUE DE RIOMIERA,2023-01-01,2024-12-31,43.2275,-3.721111111111111,5
89,1109,SANTANDER AEROPUERTO,2016-01-01,2024-12-31,43.42388888888889,-3.8255555555555554,5
90,1109X,SANTANDER AEROPUERTO,2016-01-01,2024-12-31,43.42861111111111,-3.8313888888888887,5
91,1111,SANTANDER,2016-01-01,2024-05-15,43.49111111111111,-3.800555555555556,5
92,1111X,SANTANDER,2016-01-01,2024-12-31,43.49111111111111,-3.800555555555556,5
93,1124E,VILLACARRIEDO,2016-01-01,2024-12-31,43.24555555555556,-3.849444444444445,5
94,1135C,"LOS TOJOS, BÁRCENA MAYOR",2016-01-01,2024-12-31,43.14694444444444,-4.214166666666667,5
95,1152C,SAN FELICES DE BUELNA,2016-01-01,2024-12-31,43.27194444444444,-4.048611111111111,5
96,1154H,"TORRELAVEGA, SIERRAPANDO",2016-01-01,2024-12-31,43.35861111111111,-4.0275,5
97,1159,SAN VICENTE DE LA BARQUERA,2016-01-01,2024-12-31,43.39333333333333,-4.392222222222222,5
98,1167B,"CAMALEÑO, FUENTE DE",2016-01-01,2024-12-31,43.14388888888889,-4.812777777777778,1
99,1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",2020-08-13,2024-12-31,43.155,-4.803055555555555,1
100,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",2020-09-01,2024-12-31,43.08916666666667,-4.773888888888889,1
101,1174I,"CILLÓRIGO DE LIÉBANA, TAMA",2016-01-01,2024-12-31,43.18277777777777,-4.601666666666667,4
102,1176A,TRESVISO,2016-01-01,2024-12-31,43.255833333333335,-4.668333333333334,5
103,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",2019-06-01,2024-12-31,43.2375,-4.736666666666666,5
104,1178Y,"POSADA DE VALDEÓN, SOTO ",2016-01-01,2023-12-31,43.14527777777778,-4.931666666666667,5
105,1179B,CABRALES,2016-01-09,2024-12-31,43.31111111111111,-4.852777777777778,5
