indicativo,altitud,tmed_mean,tmed_winter,tmed_spring,tmed_summer,tmed_fall,prec_mean,hrMedia_mean,velmedia_mean,longitud_dd,latitud_dd,tmed_range,prec_mean_log,velmedia_mean_log,cluster
0002I,32,17.11037723919007,11.585643564356436,15.162375708839852,24.39878619576311,18.51024096385542,1.379955364841708,62.20993041638925,2.2015482090880436,0.8713888888888889,40.95805555555556,12.813142631406672,0.8670817332393299,1.1636345081447892,1
0009X,406,15.457051609606541,9.434418145956608,13.725871559633028,23.02887168141593,16.725275938189842,1.521819110884006,65.473939703628,3.1966019417475726,0.9633333333333332,41.21388888888889,13.594453535459321,0.9249805104993526,1.434275136333764,1
0016A,71,17.283885341997674,10.442022116903633,15.254503105590064,24.939566045054523,18.394659610384515,1.257447224394058,63.79632525410477,3.5551407349491786,1.163611111111111,41.145,14.49754392815089,0.8142346281372015,1.5162564270401528,1
0016B,118,18.662309967384097,12.448341232227486,16.55947204968944,25.720013814547393,19.827943485086344,1.3085147047218644,61.21266614542611,3.1285366758701785,1.108888888888889,41.15416666666667,13.271672582319907,0.8366043327613247,1.4179230284183455,1
0034X,233,16.68690383111806,9.802053712480253,14.871739130434785,24.39860248447205,17.567189952904236,1.1329083925147097,66.9007036747459,2.2163421552122995,1.2608333333333333,41.293055555555554,14.596548771991797,0.7574864908476229,1.1682447372036537,1
0042Y,55,18.03201174743025,11.959577677224736,15.705124223602482,24.788328530259363,19.187828492392807,1.349217629690284,67.35022026431719,2.6693739121473765,1.2491666666666668,41.12388888888889,12.828750853034627,0.8540823491886745,1.3000210513681723,1
0061X,632,14.14439586645469,8.065165876777252,12.025388198757765,21.58385093167702,14.853277310924367,1.4027027027027026,58.48430047694754,3.492905405405405,1.5191666666666666,41.41694444444444,13.518685054899768,0.8765942298756344,1.5024995760950572,4
0066X,177,16.554693388146624,9.542382271468144,14.65101902173913,24.43451568894952,17.49986263736264,1.2773709393219006,68.24323398424117,1.632853717026379,1.6769444444444443,41.33027777777778,14.892133417481377,0.8230216808501001,0.9680683214418854,1
0073X,58,16.870929798356983,11.038017118402282,14.685263929618769,24.179017160686428,18.239449541284404,1.2852537543280742,71.50578790141897,1.7088498879761016,1.8525,41.24388888888889,13.141000042284146,0.8264770704026784,0.9965241492295431,1
0076,4,17.563313718278778,11.213603473227206,15.39945652173913,25.080000000000002,19.222370486656203,1.4426995218830454,68.15759470393527,4.513093048915042,2.0700000000000003,41.29277777777778,13.866396526772796,0.8931037891658183,1.707125817555997,1
0092X,682,13.779239649681527,6.561491628614917,12.513319088319086,22.416447368421053,14.475229357798165,2.250199044585987,65.43192675159236,2.1614649681528664,1.8575,42.10138888888889,15.854955739806137,1.1787162389542751,1.1510355176874227,3
0106X,361,14.376185531325719,6.44300932090546,13.034002433090025,23.51350954478708,15.696771653543308,1.4405676704742125,67.47853928695051,2.306680512287989,1.8725,41.86638888888889,17.07050022388162,0.8922306640795631,1.1959448198037732,1
0114X,700,13.371284032376748,5.653043478260869,11.486209239130435,22.515725190839692,14.50690737833595,1.7906571602539312,68.967255334805,1.5909492273730683,2.0266666666666664,42.00694444444444,16.862681712578823,1.026277109407428,0.9520243056230442,1
0120X,742,13.78109756097561,6.9321016166281755,11.972717391304348,21.997973778307507,14.636996336996338,1.7127564837167213,69.70963995354239,1.9483449477351917,2.095277777777778,41.81333333333333,15.065872161679332,0.9979652706053509,1.081243978246855,1
0149D,291,15.769396681749624,7.697654320987655,14.191338582677165,24.673296158612143,16.703337453646476,1.5865633900858596,64.82970437628035,1.9833540507551097,1.840277777777778,41.72,16.975641837624487,0.9503301182167346,1.0930481879817298,1
0149X,291,15.601268956979263,7.322518610421837,14.111861313868614,24.741898734177212,16.432595325953262,1.2799752398638193,62.00448777468276,2.0642201396485147,1.840277777777778,41.72,17.419380123755374,0.8241645831985311,1.1197930964412335,4
0158O,738,13.616735173223722,6.9156794425087105,11.887282608695653,21.885924112607103,14.365222772277228,1.684380504991192,65.45311367955863,2.6055048246142003,1.8391666666666668,41.59444444444445,14.970244670098392,0.9874499769417929,1.2824617955000335,1
0158X,738,13.781353456669912,7.159923175416132,12.112077294685989,21.92797858099063,14.426827586206898,1.699195178410937,67.70821161960403,2.4267332081486557,1.8391666666666668,41.59444444444445,14.768055405574497,0.9929536465049693,1.2316073898907933,1
0171X,313,15.881767296344666,8.179260345005526,14.268330308529945,24.705406237242382,16.836402534427805,1.3987513591198824,60.62053230242083,1.368935028984444,1.6177777777777778,41.57888888888889,16.526145892236855,0.8749483349346647,0.862440499298006,4
0194D,647,15.056433944576844,8.034565265838296,13.428294573643408,23.75889047128235,15.88170731707317,1.486641279314254,70.99095102909865,2.290509103216966,1.885,41.40805555555556,15.724325205444053,0.910932916104393,1.191042295425015,1
0200E,408,16.691139705882353,10.597398843930636,14.762228260869565,24.341984732824425,17.672684458398745,1.8466360294117647,68.52654130111412,3.920695860925126,2.1241666666666665,41.41833333333333,13.74458588889379,1.0461379565727307,1.5934499556505926,1
0201D,26,17.476819606706,11.825124346700463,15.546856597405263,24.508709846910442,18.761996336996337,1.4304125903870695,72.36728726492603,3.551850276478094,2.2,41.39055555555556,12.683585500209979,0.8880610332224631,1.5155338044724702,1
0201X,11,17.625691019411327,12.50348674697984,16.157008130066774,25.1035844849037,19.22531076909568,1.4931489950630976,67.30886239312852,3.2365500838382735,2.1738888888888885,41.375,12.600097737923859,0.9135465681238126,1.4437492785712243,1
0222X,175,15.982458941605842,8.804151291512916,13.83786231884058,24.22572463768116,16.942490842490844,1.4842858738410225,68.38845802919708,2.2139598540145986,2.168333333333333,41.61277777777778,15.421573346168245,0.9099852435367048,1.1675037762648746,1
0229I,146,12.071573216298631,11.387206726993913,13.00631768949532,,,0.8335051546391751,63.946108122212856,2.5030927835051546,2.103055555555556,41.52361111111111,14.440254296680273,0.6062295198910813,1.253646230734449,1
