cod_prov,name,cod_ccaa,cartodb_id,created_at,updated_at
07,Illes Balears,03,7,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
33,Asturias,18,33,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
15,A Coruña,11,15,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
17,Girona,08,17,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
35,Las Palmas,04,35,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
36,Pontevedra,11,36,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
38,Santa Cruz De Tenerife,04,38,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
39,Cantabria,05,39,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
29,Málaga,01,29,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
04,Almería,01,4,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
30,Murcia,15,30,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
02,Albacete,06,2,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
05,Ávila,07,5,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
01,Araba/Álava,17,1,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
06,Badajoz,10,6,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
03,Alacant/Alicante,19,3,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
32,Ourense,11,32,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
08,Barcelona,08,8,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
09,Burgos,07,9,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
10,Cáceres,10,10,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
11,Cádiz,01,11,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
12,Castelló/Castellón,19,12,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
13,Ciudad Real,06,13,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
23,Jaén,01,23,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
14,Córdoba,01,14,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
16,Cuenca,06,16,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
18,Granada,01,18,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
19,Guadalajara,06,19,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
20,Gipuzkoa/Guipúzcoa,17,20,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
21,Huelva,01,21,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
22,Huesca,02,22,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
24,León,07,24,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
25,Lleida,08,25,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
26,La Rioja,12,26,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
42,Soria,07,42,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
31,Navarra,16,31,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
51,Ceuta,09,52,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
27,Lugo,11,27,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
28,Madrid,13,28,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
34,Palencia,07,34,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
37,Salamanca,07,37,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
40,Segovia,07,40,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
41,Sevilla,01,41,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
45,Toledo,06,45,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
43,Tarragona,08,43,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
44,Teruel,02,44,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
46,València/Valencia,19,46,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
47,Valladolid,07,47,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
48,Bizkaia/Vizcaya,17,48,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
49,Zamora,07,49,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
50,Zaragoza,02,50,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
52,Melilla,14,51,2014-09-30T00:00:00Z,2014-12-25T01:56:10Z
