indicativo,nombre,provincia,altitud,fecha,tmin,tmax,tmed,hrMedia,prec,velmedia,racha,anio,mes,dia
0092X,BERGA,BARCELONA,682,2023-05-29,13.1,24.6,18.8,54.0,0.0,1.9,9.7,2023,5,29
0092X,BERGA,BARCELONA,682,2023-05-30,11.6,22.9,17.2,77.0,2.8,2.5,11.9,2023,5,30
0092X,BERGA,BARCELONA,682,2023-05-31,11.7,23.2,17.4,74.0,9.0,1.9,8.3,2023,5,31
0092X,BERGA,BARCELONA,682,2023-06-01,11.8,21.5,16.6,71.0,0.0,2.2,8.3,2023,6,1
0092X,BERGA,BARCELONA,682,2023-06-02,10.2,23.2,16.7,64.0,0.0,1.4,11.4,2023,6,2
0092X,BERGA,BARCELONA,682,2023-06-03,11.9,22.9,17.4,72.0,1.4,1.4,8.1,2023,6,3
0092X,BERGA,BARCELONA,682,2023-06-04,10.6,22.9,16.8,71.0,0.8,1.9,8.9,2023,6,4
0092X,BERGA,BARCELONA,682,2023-06-05,12.8,24.6,18.7,72.0,9.4,2.2,8.3,2023,6,5
0092X,BERGA,BARCELONA,682,2023-06-06,11.9,25.2,18.6,71.0,6.0,2.2,10.6,2023,6,6
0092X,BERGA,BARCELONA,682,2023-06-07,12.0,21.8,16.9,73.0,0.0,2.2,6.7,2023,6,7
0092X,BERGA,BARCELONA,682,2023-06-08,12.8,24.3,18.6,68.0,0.2,2.2,6.7,2023,6,8
0092X,BERGA,BARCELONA,682,2023-06-09,15.9,25.7,20.8,63.0,0.2,1.9,10.3,2023,6,9
0092X,BERGA,BARCELONA,682,2023-06-10,14.5,25.8,20.2,77.0,24.4,2.5,7.2,2023,6,10
0092X,BERGA,BARCELONA,682,2023-06-11,13.8,24.0,18.9,76.0,4.2,1.9,8.6,2023,6,11
0092X,BERGA,BARCELONA,682,2023-06-12,13.3,25.6,19.4,58.0,0.2,2.5,10.3,2023,6,12
0092X,BERGA,BARCELONA,682,2023-06-13,14.3,24.1,19.2,79.0,11.4,2.2,12.5,2023,6,13
0092X,BERGA,BARCELONA,682,2023-06-14,13.4,25.9,19.6,63.0,0.0,1.4,8.3,2023,6,14
0092X,BERGA,BARCELONA,682,2023-06-15,15.7,27.5,21.6,49.0,0.0,1.1,7.5,2023,6,15
0092X,BERGA,BARCELONA,682,2023-06-16,15.1,28.6,21.8,51.0,0.0,2.2,6.7,2023,6,16
