provincia,indicativo,nombre,latitud,longitud,altitud
ILLES BALEARS,B051A,"SÓLLER, PUERTO",394744N,024129E,5
ILLES BALEARS,B013X,"ESCORCA, LLUC",394924N,025309E,490
ILLES BALEARS,B087X,BANYALBUFAR,394121N,023046E,60
ILLES BALEARS,B158X,"CALVIÀ, ES CAPDELLÀ",393305N,022759E,50
ILLES BALEARS,B103B,ANDRATX - SANT ELM,393446N,022208E,52
ILLES BALEARS,B236C,"PALMA, UNIVERSITAT",393832N,023838E,95
ILLES BALEARS,B248,"SIERRA DE ALFABIA, BUNYOLA",394406N,024247E,1030
ILLES BALEARS,B228,"PALMA, PUERTO",393315N,023731E,3
BALEARES,B278,"PALMA DE MALLORCA, AEROPUERTO",393339N,024412E,5
BALEARES,B275E,"SON BONET, AEROPUERTO",393621N,024224E,47
ILLES BALEARS,B334X,LLUCMAJOR,392944N,025330E,140
ILLES BALEARS,B301,"LLUCMAJOR, CAP BLANC",392247N,024706E,113
ILLES BALEARS,B341X,PORRERES,393022N,030020E,149
ILLES BALEARS,B346X,PORRERES,393118N,030109E,120
ILLES BALEARS,B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",390808N,025612E,165
ILLES BALEARS,B373X,"CAMPOS, SALINES LLEVANT",392104N,030043E,3
ILLES BALEARS,B362X,"CAMPOS, CAN SION",392421N,030351E,40
ILLES BALEARS,B410B,SANTANYÍ,392024N,030845E,45
ILLES BALEARS,B434X,PORTOCOLOM  ,392452N,031618E,17
ILLES BALEARS,B496X,SON SERVERA,393749N,032301E,25
ILLES BALEARS,B526X,ARTÀ,394119N,032104E,110
ILLES BALEARS,B569X,CAPDEPERA,394300N,032841E,57
ILLES BALEARS,B603X,ARTÀ-COLÒNIA DE SANT PERE,394323N,031643E,99
ILLES BALEARS,B605X,"MURO, S'ALBUFERA",394748N,030617E,2
ILLES BALEARS,B640X,PETRA,393659N,030716E,95
ILLES BALEARS,B614E,MANACOR,393325N,031304E,100
ILLES BALEARS,B662X,BINISSALEM,394041N,025226E,105
ILLES BALEARS,B656A,SANTA MARÍA DEL CAMÍ,393909N,024801E,121
ILLES BALEARS,B644B,SINEU,393836N,030008E,120
ILLES BALEARS,B684A,"ESCORCA, SON TORRELLA",394734N,024716E,842
BALEARES,B691Y,SA POBLA,394457N,030100E,32
BALEARES,B691,LA PUEBLA (SA CANOVA),394454N,030055E,40
ILLES BALEARS,B780X,PORT DE POLLENÇA,395434N,030601E,2
ILLES BALEARS,B760X,POLLENÇA,395237N,030127E,45
ILLES BALEARS,B800X,"LA MOLA, MAÓ",395234N,041926E,78
ILLES BALEARS,B825B,ES MERCADAL,395926N,040511E,80
ILLES BALEARS,B860X,CIUTADELLA,395934N,035114E,20
ILLES BALEARS,B870C,"CIUTADELLA, CALA GALDANA",395641N,035724E,43
BALEARES,B893,"MENORCA, AEROPUERTO",395117N,041256E,91
ILLES BALEARS,B908X,SANT JOAN DE LABRITJA,390322N,012933E,110
ILLES BALEARS,B925,SANT ANTONI DE PORTMANY,385747N,011917E,32
ILLES BALEARS,B957,EIVISSA,385522N,012629E,3
ILLES BALEARS,B954,"IBIZA, AEROPUERTO",385235N,012304E,6
ILLES BALEARS,B986,FORMENTERA,384137N,012749E,24
LAS PALMAS,C018J,TÍAS,285811N,134125W,376
LAS PALMAS,C029O,LANZAROTE AEROPUERTO,285707N,133601W,14
LAS PALMAS,C019V,YAIZA PLAYA BLANCA,285132N,135006W,6
LAS PALMAS,C038N,HARÍA,290837N,132921W,277
LAS PALMAS,C048W,TINAJO,290233N,134051W,275
STA. CRUZ DE TENERIFE,C101A,ROQUE DE LOS MUCHACHOS,284521N,175343W,2223
STA. CRUZ DE TENERIFE,C117Z,TIJARAFE,284029N,175612W,733
STA. CRUZ DE TENERIFE,C117A,PUNTAGORDA,284538N,175908W,684
STA. CRUZ DE TENERIFE,C126A,EL PASO,283914N,175111W,844
STA. CRUZ DE TENERIFE,C129V,FUENCALIENTE,282718N,175028W,19
SANTA CRUZ DE TENERIFE,C139E,LA PALMA AEROPUERTO,283759N,174518W,33
STA. CRUZ DE TENERIFE,C129Z,TAZACORTE,283545N,175455W,62
STA. CRUZ DE TENERIFE,C148F,SAN ANDRÉS Y SAUCES,284817N,174656W,362
LAS PALMAS,C229J,PÁJARA,280257N,142129W,15
LAS PALMAS,C239N,"TUINEJE,PUERTO GRAN TARAJAL",281231N,140123W,1
LAS PALMAS,C248E,ANTIGUA,282501N,140109W,252
LAS PALMAS,C249I,FUERTEVENTURA AEROPUERTO,282641N,135147W,25
LAS PALMAS,C258K,LA OLIVA,283645N,135554W,217
STA. CRUZ DE TENERIFE,C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",280625N,171457W,1474
STA. CRUZ DE TENERIFE,C317B,AGULO,281044N,171247W,765
STA. CRUZ DE TENERIFE,C319W,"VALLEHERMOSO, DAMA",280315N,171823W,190
STA. CRUZ DE TENERIFE,C316I,ARURE,280742N,171854W,916
STA. CRUZ DE TENERIFE,C328W,HERMIGUA,280949N,171139W,252
STA. CRUZ DE TENERIFE,C329Z,SAN SEBASTIÁN DE LA GOMERA,280523N,170641W,15
STA. CRUZ DE TENERIFE,C329B,"LA GOMERA, AEROPUERTO",280154N,171239W,219
STA. CRUZ DE TENERIFE,C406G,"LA OROTAVA, CAÑADAS TEIDE",281327N,163734W,2150
STA. CRUZ DE TENERIFE,C417J,CITFAGRO_74_CHIO,281400N,164721W,735
STA. CRUZ DE TENERIFE,C412N,CITFAGRO_89_CHAVAO,281311N,164219W,2071
STA. CRUZ DE TENERIFE,C415A,CITFAGRO_64_HOYOS,281819N,164820W,990
STA. CRUZ DE TENERIFE,C418I,CITFAGRO_05_GUIAISO1,281252N,164723W,476
STA. CRUZ DE TENERIFE,C418L,CITFAGRO_76_POZO,281201N,164547W,700
SANTA CRUZ DE TENERIFE,C419L,LOMO DEL BALO,281225N,164731W,403
STA. CRUZ DE TENERIFE,C419X,ADEJE,280453N,164238W,130
STA. CRUZ DE TENERIFE,C423R,CITFAGRO_90_PICACHO,281327N,163116W,1654
STA. CRUZ DE TENERIFE,C422A,CITFAGRO_94_LOSTOPOS,281019N,163905W,1833
STA. CRUZ DE TENERIFE,C426I,CITFAGRO_77_PINAL,280737N,163621W,880
STA. CRUZ DE TENERIFE,C426E,CITFAGRO_13_VILAFLOR,280839N,163741W,1258
STA. CRUZ DE TENERIFE,C428T,ARICO,281051N,162860W,418
STA. CRUZ DE TENERIFE,C426R,CITFAGRO_09_HELECHO,281301N,162926W,930
STA. CRUZ DE TENERIFE,C428U,CITFAGRO_01_ARICO,280752N,162821W,135
SANTA CRUZ DE TENERIFE,C430E,IZAÑA,281830N,162959W,2369
SANTA CRUZ DE TENERIFE,C429I,TENERIFE SUR AEROPUERTO,280249N,163340W,64
STA. CRUZ DE TENERIFE,C436I,CITFAGRO_54_TOPONEGRO,281935N,162420W,290
STA. CRUZ DE TENERIFE,C436L,CITFAGRO_96_ARAYA,282214N,162351W,525
STA. CRUZ DE TENERIFE,C437E,CITFAGRO_81_MENA,281611N,162511W,500
