idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
0009X,0.963335,2025-05-28T05:00:00+0000,0.0,406.0,3.8,2.6,235.0,41.213894,230.0,ALFORJA,98.0,10.9,13.1,13.1,,,,,,,,,,,,,,,,,,,,,,,,
0016A,1.163611,2025-05-28T05:00:00+0000,0.0,71.0,3.1,2.1,30.0,41.145,30.0,REUS/AEROPUERTO,90.0,14.8,16.4,16.6,1013.6,0.3,15.9,1022.7,14.7,30.0,6.0,0.0,,,,,,,,,,,,,,,,
0034X,1.260838,2025-05-28T05:00:00+0000,0.0,233.0,,,,41.293053,,VALLS,94.0,11.4,11.4,11.7,,,,,,,,,,,,,,,,,,,,,,,,
0042Y,1.249167,2025-05-28T05:00:00+0000,0.0,55.0,0.1,0.0,354.0,41.123894,22.0,TARRAGONA  FAC. GEOGRAFIA,94.0,15.2,15.6,15.6,,,,,,,,,,,,,,,,,,,,,,,,
0061X,1.519269,2025-05-28T05:00:00+0000,0.0,632.0,3.1,2.2,313.0,41.417053,332.0,PONTONS,80.0,9.8,10.8,10.8,,,,,,,,,,,,,,,,,,,,,,,,
0066X,1.676942,2025-05-28T05:00:00+0000,0.0,177.0,0.7,0.0,343.0,41.33028,105.0,VILAFRANCA DEL PENEDÈS,94.0,11.7,11.8,11.9,,,,,,,,,,,,,,,,,,,,,,,,
0073X,1.852626,2025-05-28T05:00:00+0000,0.0,58.0,1.0,0.0,257.0,41.243786,345.0,SITGES-VALLCARCA,97.0,15.6,15.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,
0076,2.069995,2025-05-28T05:00:00+0000,0.0,4.0,5.1,4.0,350.0,41.29278,350.0,BARCELONA/AEROPUERTO,83.0,16.6,16.8,16.9,1021.9,0.3,16.9,1022.5,13.9,15.6,3.0,0.0,,,,,,,,,,,,,,,,
0092X,1.857494,2025-05-28T05:00:00+0000,0.0,682.0,4.8,2.1,60.0,42.101387,62.0,BERGA  INSTITUTO,79.0,14.3,14.4,14.5,,,,,,,,,,,,,,,,,,,,,,,,
0106X,1.872504,2025-05-28T05:00:00+0000,0.0,361.0,1.6,0.2,314.0,41.866386,357.0,BALSARENY,96.0,10.6,11.4,11.4,,,,,,,,,,,,,,,,,,,,,,,,
0114X,2.026561,2025-05-28T05:00:00+0000,0.0,700.0,2.1,1.2,330.0,42.007057,17.0,PRATS DE LLUÇANÈS,97.0,12.7,13.4,13.5,,,,,,,,,,,,,,,,,,,,,,,,
0120X,2.09539,2025-05-28T05:00:00+0000,0.0,742.0,1.7,0.1,1.0,41.81328,22.0,MOIÀ,87.0,13.7,13.7,14.1,,,,,,,,,,,,,,,,,,,,,,,,
