idema,fint,ta,lat,lon,alt
0009X,2025-05-29T03:00:00+0000,15.5,41.213894,0.963335,406.0
0016A,2025-05-29T03:00:00+0000,18.0,41.145,1.163611,71.0
0034X,2025-05-29T03:00:00+0000,13.4,41.293053,1.260838,233.0
0042Y,2025-05-29T03:00:00+0000,16.8,41.123894,1.249167,55.0
0061X,2025-05-29T03:00:00+0000,11.8,41.417053,1.519269,632.0
0066X,2025-05-29T03:00:00+0000,13.7,41.33028,1.676942,177.0
0073X,2025-05-29T03:00:00+0000,16.2,41.243786,1.852626,58.0
0076,2025-05-29T03:00:00+0000,18.3,41.29278,2.069995,4.0
0092X,2025-05-29T03:00:00+0000,16.6,42.101387,1.857494,682.0
0106X,2025-05-29T03:00:00+0000,13.5,41.866386,1.872504,361.0
0114X,2025-05-29T03:00:00+0000,13.4,42.007057,2.026561,700.0
0120X,2025-05-29T03:00:00+0000,17.2,41.81328,2.09539,742.0
0149X,2025-05-29T03:00:00+0000,14.2,41.71988,1.84028,291.0
0158X,2025-05-29T03:00:00+0000,18.6,41.594444,1.839223,738.0
0171X,2025-05-29T03:00:00+0000,14.5,41.578888,1.617778,313.0
0194D,2025-05-29T03:00:00+0000,18.0,41.40819,1.885,647.0
0201D,2025-05-29T03:00:00+0000,19.0,41.390556,2.200001,26.0
0201X,2025-05-29T03:00:00+0000,19.7,41.374996,2.173886,11.0
0222X,2025-05-29T03:00:00+0000,14.0,41.612663,2.168412,175.0
0244X,2025-05-29T03:00:00+0000,17.7,41.504894,2.362637,56.0
0252D,2025-05-29T03:00:00+0000,16.8,41.587223,2.54,74.0
0260X,2025-05-29T03:00:00+0000,15.1,41.760063,2.431023,936.0
0281Y,2025-05-29T03:00:00+0000,19.0,41.677055,2.805112,45.0
0284X,2025-05-29T03:00:00+0000,16.4,41.807816,3.030933,14.0
0312X,2025-05-29T03:00:00+0000,9.7,42.258446,2.364353,851.0
0320I,2025-05-29T03:00:00+0000,10.6,42.31688,2.102774,1151.0
0324A,2025-05-29T03:00:00+0000,12.8,42.191387,2.196187,675.0
0360X,2025-05-29T03:00:00+0000,12.4,42.052837,2.551007,337.0
0363X,2025-05-29T03:00:00+0000,11.4,41.880833,2.513329,810.0
0367,2025-05-29T03:00:00+0000,14.9,41.911667,2.763329,143.0
0370E,2025-05-29T03:00:00+0000,17.1,41.972332,2.819442,76.0
0372C,2025-05-29T03:00:00+0000,16.0,42.104443,2.763611,157.0
0385X,2025-05-29T03:00:00+0000,19.9,42.053886,3.201389,1.0
0394X,2025-05-29T03:00:00+0000,13.3,42.210556,2.471827,350.0
0411X,2025-05-29T03:00:00+0000,17.9,42.224834,3.093053,2.0
0413A,2025-05-29T03:00:00+0000,13.9,42.386925,2.75558,355.0
0421X,2025-05-29T03:00:00+0000,17.6,42.38988,3.006114,100.0
0429X,2025-05-29T03:00:00+0000,21.6,42.259083,2.960328,45.0
0433D,2025-05-29T03:00:00+0000,22.0,42.31904,3.315556,75.0
1002Y,2025-05-29T03:00:00+0000,12.5,43.135723,-1.542961,183.0
1010X,2025-05-29T03:00:00+0000,13.2,43.27869,-1.675786,54.0
1012P,2025-05-29T03:00:00+0000,12.7,43.32641,-1.796536,120.0
1014A,2025-05-29T03:00:00+0000,14.6,43.357075,-1.792116,4.0
1021X,2025-05-29T03:00:00+0000,10.6,43.213833,-1.878823,165.0
1025A,2025-05-29T03:00:00+0000,11.7,43.015553,-2.256663,255.0
1025X,2025-05-29T03:00:00+0000,12.7,43.054634,-2.232037,255.0
1026X,2025-05-29T03:00:00+0000,12.2,43.05816,-2.184273,290.0
1033X,2025-05-29T03:00:00+0000,9.9,43.085,-1.950836,520.0
1037X,2025-05-29T03:00:00+0000,9.9,43.051796,-2.337095,460.0
1037Y,2025-05-29T03:00:00+0000,12.0,43.079918,-2.3175,420.0
1038X,2025-05-29T03:00:00+0000,12.0,43.172577,-2.267175,180.0
1041A,2025-05-29T03:00:00+0000,12.7,43.30214,-2.251035,28.0
1044X,2025-05-29T03:00:00+0000,11.9,43.057835,-2.589645,617.0
